PS_id	PS_name
PS275200	Hypothyroidism, congenital, nongoitrous
PS276700	Tyrosinemia
PS276900	Usher syndrome
PS277180	Vas deferens, congenital bilateral aplasia of
PS277300	Spondylocostal dysostosis
PS277450	Vitamin K-dependent clotting factors, combined deficiency of
PS277600	Weill-Marchesani syndrome
PS278300	Xanthinuria
PS300000	Opitz GBBB syndrome
PS300009	Dent disease
PS300345	Microphthalmia, isolated, with coloboma
PS300352	Cerebral creatine deficiency syndrome
PS300633	Hypospadias
PS300751	Anemia, Sideroblastic
PS303350	Spastic paraplegia
PS304500	Deafness, X-linked
PS305100	Ectodermal dysplasia (select examples)
PS305620	Frontometaphyseal dysplasia
PS306400	Granulomatous disease, chronic
PS306955	Heterotaxy, visceral
PS308230	Immunodeficiency with hyper-IgM
PS308240	Lymphoproliferative syndrome
PS308350	Epileptic encephalopathy, early infantile
PS309510	Mental retardation, X-linked syndromic
PS309530	Mental retardation, nonsyndromic, X-linked
PS309800	Microphthalmia, syndromic
PS309801	Linear skin defects with multiple congenital anomalies
PS310300	Emery-Dreifuss muscular dystrophy
PS310500	Night blindness, congenital stationary
PS310700	Nystagmus, congenital
PS312080	Leukodystrophy, hypomyelinating
PS312170	Pyruvate dehydrogenase complex deficiency
PS400044	46,XY sex reversal
PS600118	Warburg micro syndrome
PS600165	Nanophthalmos
PS600462	Myopathy, lactic acidosis, and siderblastic anemia
PS600512	Epilepsy, familial temporal lobe
PS600513	Epilepsy, nocturnal frontal lobe
PS600630	UV-sensitive syndrome
PS600721	D-2-hydroxyglutaric aciduria
PS601144	Brugada syndrome
PS601198	Hypocalcemia
PS601390	Van Maldergem syndrome
PS601419	Myofibrillar myopathy
PS601462	Myasthenic syndrome, congenital
PS601495	Agammaglobulinemia
PS601675	Trichothiodystrophy
PS601678	Bartter syndrome
PS601764	Seizures, benign familial infantile
PS602014	Hypomagnesemia
PS602483	Auriculocondylar syndrome
PS603041	Mitochondrial DNA depletion syndrome
PS603278	Focal segmental glomerulosclerosis
PS603387	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome
PS603513	Spastic quadriplegic cerebral palsy
PS604004	Leukoencephalopathy, megalencephalic
PS604169	Left ventricular noncompaction
PS604233	Epilepsy, generalized, with febrile seizures plus
PS604348	Advanced sleep phase syndrome
PS604364	Epilepsy, familial focal, with variable foci
PS604772	Ventricular tachycardia, catecholaminergic polymorphic
PS604931	Cortisone reductase deficiency
PS605389	Hypotrichosis
PS605432	Radioulnar synostosis with amegakaryocytic thrombocytopenia
PS605711	Multiple mitochondrial dysfunctions syndrome
PS606215	Atrioventricular septal defect
PS607014	Mucopolysaccharidoses
PS607086	Aortic aneurysm, familial thoracic
PS607326	Smith-McCort dysplasia
PS607411	Patent ductus arteriosus
PS607426	Coenzyme Q10 deficiency, primary
PS607432	Lissencephaly
PS607594	Immunodeficiency, common variable
PS607596	Pontocerebellar hypoplasia
PS607634	Osteopetrosis, autosomal dominant
PS607765	Bile acid synthesis defect, congenital
PS608567	Sick sinus syndrome
PS608583	Atrial fibrillation, familial
PS608594	Lipodystrophy, congenital generalized
PS608808	Transposition of the great arteries, dextro-looped
PS609060	Combined oxidative phosphorylation deficiency
PS609129	Auditory neuropathy
PS609161	Striatal degeneration, autosomal dominant
PS609192	Loeys-Dietz syndrome
PS609308	Muscular dystrophy-dystroglycanopathy, type C
PS609620	Short QT syndrome
PS610489	Pigmented nodular adrenocortical disease, primary
PS610542	Myasthenic syndrome, congenital, with tubular aggregates
PS610799	Invasive pneumococcal disease, recurrent isolated
PS612199	Cerebroretinal microangiopathy with calcfications and cysts
PS612286	Nephrolithiasis/osteoporosis, hypophosphatemic
PS613038	Pituitary hormone deficiency, combined
PS613155	Muscular dystrophy-dystroglycanopathy, type B
PS613280	Hypermanganesemia with dystonia
PS614039	Cortical dysplasia, complex, with other brain malformations
PS614080	Multiple congenital anomalies-hypotonia-seizures syndrome
PS614372	Lectin complement activation pathway defects
PS614388	Encephalopathy due to defective mitochondrial and peroxisomal fission
PS614429	Ventricular septal defect
PS614675	Bone marrow failure syndrome
PS614742	Pulmonary fibrosis and/or bone marrow failure, telomere-related
PS615040	Familial episodic pain syndrome
PS615419	Hypotonia, infantile, with psychomotor retardation and characteristic facies
PS615774	Oocyte maturation defect
PS615895	Polyglucosan body myopathy
PS615952	Autoimmune disease, multisystem, infantile-onset
PS616814	Preimplantation embryonic lethality
